route,start_stop_id,end_stop_id,flow_begin,flow_end,period,duration,nr_of_buses,nr_of_repetitions,nr_of_trips_pd,line,depot,type,bothdepots,doubledecker
327_11085,agg_11082_16_10120_31_11085_0_12038_6,agg_9828_32_10099_29_10103_28_10109_0_10789_24_11082_0_10785_0_10691_0_11085_17_10094_0_10683_32_9836_0,22500,72780,1200.0,1400.0,2,35,41,327,muellerstrasse,EN,0,0
M11_11407,11407_0,11407_61,3180,85800,600.0,4700.0,8,17,137,M11,cicerostrasse,GN,0,0
M19_11467,agg_11475_27_10487_39_10481_0_11467_0,agg_11475_0_11467_26_11475_1,420,85620,660.0,2420.0,4,35,129,M19,cicerostrasse,GN,0,0
M19_11475,agg_11475_0_11467_26_11475_1,agg_11475_27_10487_39_10481_0_11467_0,1860,86040,600.0,2360.0,4,35,140,M19,cicerostrasse,GN,0,0
M21_11514,agg_11514_0_12043_0,agg_11514_32_11516_0_12464_0_12462_15_11516_1_12464_1,1740,85320,600.0,2360.0,4,35,139,M21,muellerstrasse,GN,0,0
M21_11516,agg_11514_32_11516_0_12464_0_12462_15_11516_1_12464_1,agg_11516_32_11970_0_12041_8_11921_0,1920,85320,600.0,2300.0,4,36,139,M21,muellerstrasse,GN,0,0
M27_11518,agg_11518_0_11838_49_11845_0_11523_30,agg_11518_32_11523_0,3180,86220,360.0,2780.0,8,29,230,M27,muellerstrasse,GN,0,0
M27_11523,agg_11518_32_11523_0,agg_11518_0_11838_49_11845_0_11523_30,1680,85200,360.0,2840.0,8,29,232,M27,muellerstrasse,GN,0,0
M29_11530,agg_10808_0_11530_0_10808_1_11530_1,agg_11538_0_11530_46,1320,85320,480.0,3980.0,9,21,175,M29,cicerostrasse,DL,0,0
M29_11538,agg_11538_0_11530_46,agg_10804_21_10804_22_11538_46_11538_47_10481_5,3180,85860,300.0,3800.0,13,21,275,M29,cicerostrasse,DL,0,0
M46_11658,agg_9627_0_9735_0_10804_0_11658_0_11946_0_11979_0_11838_17_11649_0_9724_0_10632_0_11941_14_10740_0_12482_0_11703_0,11658_39,1500,85500,540.0,3560.0,7,23,155,M46,cicerostrasse,DL,0,0
M46_11665,agg_11665_0_10437_34_11665_1,agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39,1440,85440,540.0,3560.0,7,23,155,M46,cicerostrasse,DL,0,0
M48_11679,agg_11679_0_11683_37_11679_1,agg_11679_36_11683_0,2520,85860,600.0,3200.0,6,26,138,M48,cicerostrasse,GN,0,0
M48_11683,agg_11679_36_11683_0,agg_11679_0_11683_37_11679_1,1920,84900,600.0,3560.0,6,23,138,M48,cicerostrasse,GN,0,0
M76_11755,agg_10437_0_11755_0_12113_0_10437_1_11755_1_12113_1_11941_24,agg_10385_45_10395_0_11755_32_11759_0,1920,86280,600.0,2480.0,5,34,140,M76,cicerostrasse,GN,0,0
