ORIGINAL_TRIP_ID;START_STOP_ID;END_STOP_ID;depot;START_TIMESTAMP;END_TIMESTAMP;START_STOP_NAME;END_STOP_NAME;START_STOP_COORDINATES;END_STOP_COORDINATES
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;37320.0;41180.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;37920.0;41780.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;38520.0;42380.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;39120.0;42980.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;39720.0;43580.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;40320.0;44180.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;40920.0;44780.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;41520.0;45380.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;42120.0;45980.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;42720.0;46580.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;43320.0;47180.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;43920.0;47780.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;44520.0;48380.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;45120.0;48980.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;45720.0;49580.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;46320.0;50180.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;46920.0;50780.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;47520.0;51380.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;48120.0;51980.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;48720.0;52580.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;49320.0;53180.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;49920.0;53780.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;50520.0;54380.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;51120.0;54980.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;51720.0;55580.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;52320.0;56180.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;52920.0;56780.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;53520.0;57380.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;54120.0;57980.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;54720.0;58580.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;55320.0;59180.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;55920.0;59780.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;56520.0;60380.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;57120.0;60980.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;57720.0;61580.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;58320.0;62180.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);;
