FromEdgeID;ToEdgeID;RunTime
30276434#1;385888165#4;554
30276434#1;-31002335#0;1019
30276434#1;138515677#4;963
30276434#1;256245721;974
30276434#1;710761406;327
30276434#1;30143978#1;584
30276434#1;-858123638#0;1210
30276434#1;4463221#1;576
30276434#1;451621867#1;1028
30276434#1;-451621866;1075
30276434#1;4392634#2;1035
30276434#1;MA080;1041
30276434#1;-450086133;897
30276434#1;32197350#0;839
30276434#1;139806486#2;803
30276434#1;-79701272#0;1223
30276434#1;30709383;1281
30276434#1;151043332#5;727
30276434#1;332306828#3;540
30276434#1;4442099#1;469
30276434#1;450189363;740
914393586;E19.203;402
914393586;671403224#1;510
914393586;-140336718#0;1244
914393586;30276434#1;460
914393586;914393586;2
914393586;4517104;491
914393586;-25418282;479
914393586;718428117#1;742
914393586;207716520;778
914393586;23044566;1102
914393586;4368690;543
914393586;451458155;701
914393586;375861848;504
914393586;-420483060#0;633
914393586;24041366;340
914393586;455953261#1;633
914393586;111251392;601
914393586;-333626093;244
914393586;4389557#1;557
914393586;42813669;1138
914393586;24735700;903
914393586;456213456;517
914393586;231262268#0;861
914393586;27606891#2;308
914393586;-10947989;1390
914393586;98410013#0;1394
914393586;172282359;612
914393586;148288810#2;1099
914393586;76402289;477
914393586;461910870#2;1014
914393586;30157285;736
914393586;24160797;979
914393586;4616321#2;395
914393586;-259536422;1458
914393586;-39496182#0;886
914393586;MA047;476
914393586;-669433184;709
914393586;4802807#2;611
914393586;39473294;927
914393586;41976565;756
914393586;-671403217;624
914393586;-165465028#0;629
914393586;4486596#2;543
914393586;24673480;595
914393586;30699893;595
914393586;-469999015;1069
914393586;469999020;738
914393586;120395207#1;1043
914393586;30157290;747
914393586;469999032;764
914393586;30157292#1;724
914393586;-469999029;823
914393586;25369033#2;473
914393586;15926759;422
914393586;4594894#4;457
914393586;57936173#3;459
914393586;223737429;904
914393586;-461331989#0;796
914393586;28819804;590
914393586;-MA068;1294
914393586;23109073#1;695
