FromStopID;ToStopID;RunTime
11658_39;agg_11967_43_11963_0_10695_0_10705_33;1836
11658_39;agg_12113_47_12561_34_12556_9;569
11658_39;agg_11039_11_11037_0_12607_19_12605_0_11037_1_12605_1_12497_20_12499_0_12499_1;808
11658_39;agg_12570_35_12561_0;907
11658_39;agg_12751_33_12751_34_11845_43;943
11658_39;agg_12788_0_12763_0_12771_36;624
11658_39;agg_10661_0_10064_29_10663_31_10066_0;830
11658_39;agg_9908_53_9922_0;1771
11658_39;agg_12434_34_12434_35;1094
11658_39;agg_11804_21_10538_19_11166_21_10970_26_10537_0_10538_20;614
11658_39;agg_10537_16_10538_0;773
11658_39;agg_10675_37_10671_0_11957_0_11962_49_10671_1_11957_1;1795
11658_39;agg_11679_0_11683_37_11679_1;995
11658_39;agg_11679_36_11683_0;725
11658_39;agg_10671_36_11882_47_11989_25;1384
11658_39;agg_11518_0_11838_49_11845_0_11523_30;1094
11658_39;agg_9777_0_9773_29;705
11658_39;agg_9777_31_9773_0;1112
11658_39;agg_11060_0_11067_23;1196
11658_39;agg_10965_25_10970_0;815
11658_39;agg_12123_27_12124_0_10487_0_10481_42;815
11658_39;agg_11065_20_11067_0_9852_0_9844_45;1540
11658_39;agg_11039_0_11037_12;1004
11658_39;agg_12763_36_12771_0;728
11658_39;agg_11475_0_11467_26_11475_1;562
11658_39;agg_11475_27_10487_39_10481_0_11467_0;941
11658_39;agg_11079_0_11077_9_11079_1_10705_29;1706
11658_39;agg_11079_10_11077_0;1814
11658_39;agg_11082_16_10120_31_11085_0_12038_6;1202
11658_39;agg_9852_46_9844_0;1197
11800_21;1;1352
11800_21;9735_25;676
11800_21;10994_37;757
11800_21;11407_61;630
11800_21;11658_39;724
11800_21;11800_21;13
11800_21;10661_32;1600
11800_21;10948_29;570
11800_21;9873_50;1006
11800_21;9724_18;1253
11800_21;10785_23;1032
11800_21;9646_49;1047
11800_21;agg_9633_48_11946_43_11949_0_9646_0;912
11800_21;agg_11516_32_11970_0_12041_8_11921_0;1605
11800_21;agg_9828_4_11970_4_10691_33_9844_29;1616
11800_21;agg_9828_32_10099_29_10103_28_10109_0_10789_24_11082_0_10785_0_10691_0_11085_17_10094_0_10683_32_9836_0;1176
11800_21;agg_9863_50_11969_8;1295
11800_21;agg_9897_0_9973_34_9889_51_9963_0;1909
11800_21;agg_12472_23_9836_31_9897_34_11923_50_11973_33_12043_1_9852_20;1638
11800_21;agg_10142_44_10136_0_9897_50_9889_0;1854
11800_21;agg_10045_25_11089_9_12475_23;1363
11800_21;agg_10740_22_10099_15;1029
11800_21;agg_10115_0_9908_0_12037_0_9922_53_10818_33_10120_37_12038_12_9929_11_9931_0;1229
11800_21;agg_10115_37_10115_38_10189_36_10189_37;1980
11800_21;agg_10258_1_10221_30_10312_0_10312_1_12434_0_12422_35_10315_28_10882_1;973
11800_21;agg_10385_45_10395_0_11755_32_11759_0;534
11800_21;agg_10437_17_10498_41;349
11800_21;agg_10444_40_11759_32_12115_49;576
11800_21;agg_10804_21_10804_22_11538_46_11538_47_10481_5;768
11800_21;agg_10994_0_10980_36;521
11800_21;agg_10994_1_12123_0_10959_25_10336_34_10329_0_10956_0;535
11800_21;agg_11518_32_11523_0;1134
11800_21;agg_11514_32_11516_0_12464_0_12462_15_11516_1_12464_1;1142
11800_21;agg_11516_10_9908_16_10691_9_11882_34_12464_4_9929_0_9844_1_9931_11;1314
11800_21;agg_11538_0_11530_46;902
11800_21;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;889
11800_21;agg_10959_0_10956_24_12115_27_12434_14_11773_6_10959_1_11776_10_12113_22_12422_21;285
11800_21;agg_10965_0_10970_27;518
11800_21;agg_11800_0_11164_0_11804_22_11166_22;518
11800_21;agg_11967_0_11967_1_11963_44_10695_33_10705_0_10705_1;1761
11800_21;agg_11967_43_11963_0_10695_0_10705_33;1932
11800_21;agg_12113_47_12561_34_12556_9;547
11800_21;agg_11039_11_11037_0_12607_19_12605_0_11037_1_12605_1_12497_20_12499_0_12499_1;896
11800_21;agg_12570_35_12561_0;730
11800_21;agg_12751_33_12751_34_11845_43;1039
11800_21;agg_12788_0_12763_0_12771_36;703
11800_21;agg_10661_0_10064_29_10663_31_10066_0;926
11800_21;agg_9908_53_9922_0;1867
11800_21;agg_12434_34_12434_35;828
11800_21;agg_11804_21_10538_19_11166_21_10970_26_10537_0_10538_20;533
11800_21;agg_10537_16_10538_0;493
11800_21;agg_10675_37_10671_0_11957_0_11962_49_10671_1_11957_1;1891
11800_21;agg_11679_0_11683_37_11679_1;730
11800_21;agg_11679_36_11683_0;896
11800_21;agg_10671_36_11882_47_11989_25;1479
11800_21;agg_11518_0_11838_49_11845_0_11523_30;1384
11800_21;agg_9777_0_9773_29;779
11800_21;agg_9777_31_9773_0;847
11800_21;agg_11060_0_11067_23;1373
11800_21;agg_10965_25_10970_0;405
11800_21;agg_12123_27_12124_0_10487_0_10481_42;405
11800_21;agg_11065_20_11067_0_9852_0_9844_45;1638
11800_21;agg_11039_0_11037_12;1099
11800_21;agg_12763_36_12771_0;1161
11800_21;agg_11475_0_11467_26_11475_1;762
11800_21;agg_11475_27_10487_39_10481_0_11467_0;944
11800_21;agg_11079_0_11077_9_11079_1_10705_29;1801
11800_21;agg_11079_10_11077_0;1910
11800_21;agg_11082_16_10120_31_11085_0_12038_6;1380
11800_21;agg_9852_46_9844_0;1345
10661_32;1;1680
10661_32;9735_25;1102
10661_32;10994_37;1116
10661_32;11407_61;1228
10661_32;11658_39;1931
10661_32;11800_21;1557
10661_32;10661_32;1
10661_32;10948_29;1741
10661_32;9873_50;1599
10661_32;9724_18;1512
10661_32;10785_23;1694
