TRIP_ID;ORIGINAL_TRIP_ID;START_STOP_ID;END_STOP_ID;depot;START_TIMESTAMP;END_TIMESTAMP;START_STOP_NAME;END_STOP_NAME;START_STOP_COORDINATES;END_STOP_COORDINATES
36;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;49500.0;53550.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
37;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;50280.0;54330.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
38;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;50700.0;54750.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
39;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;51420.0;55470.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
40;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;51900.0;55950.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
41;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;52620.0;56670.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
42;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;53100.0;57150.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
43;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;53820.0;57870.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
44;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;55020.0;59070.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
45;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;56220.0;60270.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
46;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;57420.0;61470.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
47;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;58620.0;62670.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
48;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;59820.0;63870.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
49;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;61020.0;65070.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
50;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;62220.0;66270.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
51;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;63540.0;67590.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
52;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;64800.0;68850.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
53;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;cicerostrasse;66000.0;70050.0;Berlin, Turmstr./Lübecker Str.;Sachtlebenstr. (Berlin);13.345177,52.526321;13.251566,52.409452
