FromStopID;ToStopID;RunTime
bs_cicerostrasse;agg_10120_0_10195_0_12049_0;1481
bs_cicerostrasse;agg_10808_0_11530_0_10808_1_11530_1;236
bs_cicerostrasse;agg_9722_0_9722_1;537
bs_cicerostrasse;agg_10980_0_10980_1;407
bs_cicerostrasse;agg_11090_0_10036_0_12472_0;732
9735_25;bs_muellerstrasse;926
9735_25;bs_cicerostrasse;390
9735_25;9735_25;83
9735_25;10994_37;79
9735_25;11407_0;1130
9735_25;11407_61;189
9735_25;11658_39;1023
9735_25;11800_21;681
9735_25;12751_0;490
9735_25;10661_32;1083
9735_25;10948_29;775
9735_25;11804_0;729
9735_25;10789_0;885
9735_25;9873_50;781
9735_25;12422_0;160
9735_25;10663_0;1084
9735_25;9724_18;793
9735_25;10785_23;880
9735_25;10498_0;701
9735_25;9646_49;715
9735_25;agg_9627_0_9735_0_10804_0_11658_0_11946_0_11979_0_11838_17_11649_0_9724_0_10632_0_11941_14_10740_0_12482_0_11703_0;581
9735_25;agg_9633_0_9633_1;791
9735_25;agg_9633_48_11946_43_11949_0_9646_0;420
9735_25;agg_9828_0_12475_0;1225
9735_25;agg_11516_32_11970_0_12041_8_11921_0;1233
9735_25;agg_9828_4_11970_4_10691_33_9844_29;1132
9735_25;agg_9828_20_11060_9_11065_0_11957_27;995
9735_25;agg_9828_32_10099_29_10103_28_10109_0_10789_24_11082_0_10785_0_10691_0_11085_17_10094_0_10683_32_9836_0;930
9735_25;agg_9863_0_9863_1;829
9735_25;agg_9863_50_11969_8;832
9735_25;agg_9897_0_9973_34_9889_51_9963_0;1429
9735_25;agg_11514_0_12043_0;1157
9735_25;agg_12472_23_9836_31_9897_34_11923_50_11973_33_12043_1_9852_20;1167
9735_25;agg_10142_44_10136_0_9897_50_9889_0;1625
9735_25;agg_10045_25_11089_9_12475_23;902
9735_25;agg_10740_22_10099_15;850
9735_25;agg_10115_0_9908_0_12037_0_9922_53_10818_33_10120_37_12038_12_9929_11_9931_0;934
9735_25;agg_10115_37_10115_38_10189_36_10189_37;1900
9735_25;agg_10258_1_10221_30_10312_0_10312_1_12434_0_12422_35_10315_28_10882_1;1131
9735_25;agg_10385_45_10395_0_11755_32_11759_0;1047
9735_25;agg_10437_0_11755_0_12113_0_10437_1_11755_1_12113_1_11941_24;399
9735_25;agg_10437_17_10498_41;596
9735_25;agg_11665_0_10437_34_11665_1;921
9735_25;agg_10444_40_11759_32_12115_49;378
9735_25;agg_10804_21_10804_22_11538_46_11538_47_10481_5;232
9735_25;agg_10994_0_10980_36;321
9735_25;agg_10994_1_12123_0_10959_25_10336_34_10329_0_10956_0;334
9735_25;agg_11518_32_11523_0;649
9735_25;agg_11514_32_11516_0_12464_0_12462_15_11516_1_12464_1;735
9735_25;agg_11516_10_9908_16_10691_9_11882_34_12464_4_9929_0_9844_1_9931_11;848
9735_25;agg_11538_0_11530_46;941
9735_25;agg_11643_41_11697_35_10630_17_12477_32_10808_22_9722_19_11978_23_9737_25_11665_39;582
9735_25;agg_10959_0_10956_24_12115_27_12434_14_11773_6_10959_1_11776_10_12113_22_12422_21;703
9735_25;agg_10965_0_10970_27;333
9735_25;agg_11800_0_11164_0_11804_22_11166_22;339
9735_25;agg_9737_0_11857_8_9737_1;91
9735_25;agg_11967_0_11967_1_11963_44_10695_33_10705_0_10705_1;1298
9735_25;agg_11967_43_11963_0_10695_0_10705_33;1466
9735_25;agg_11973_30_9852_17_10683_0_9836_28;1231
