chargingStation_chargeInTransit;chargingStation_coordinates;chargingStation_efficiency;chargingStation_endPos;chargingStation_id;chargingStation_lane;chargingStation_name;chargingStation_power;chargingStation_startPos;free_area
FALSCH;13.265850,52.454979;95;1300;cs_agg_10980_0_10980_1;469999032_0;Waldfriedhof Dahlem (Berlin)_Charger;150000;0;75
FALSCH;13.322489,52.456365;95;3671;cs_agg_10994_0_10980_36;30157292#1_0;S+U Rathaus Steglitz (Berlin)_Charger;150000;871;120
FALSCH;13.320978,52.455798;95;4102;cs_agg_10994_1_12123_0_10959_25_10336_34_10329_0_10956_0;469999020_0;S+U Rathaus Steglitz (Berlin)_Charger;150000;0;0
FALSCH;13.285789,52.522147;95;25615;cs_agg_11039_0_11037_12;15926759_0;Schlosspark-Klinik (Berlin)_Charger;150000;22815;60
FALSCH;13.303342,52.505548;95;20372;cs_agg_11039_11_11037_0_12607_19_12605_0_11037_1_12605_1_12497_20_12499_0_12499_1;25369033#2_0;U Wilmersdorfer Str./S Charlottenburg (Berlin)_Charger;150000;16172;240
FALSCH;13.351879,52.572431;95;7701;cs_agg_11060_0_11067_23;57936173#3_0;U Paracelsus-Bad/Aroser Allee (Berlin)_Charger;150000;4901;240
FALSCH;13.331409,52.607513;95;5860;cs_agg_11065_20_11067_0_9852_0_9844_45;455953261#1_0;Titiseestr. (Berlin)_Charger;150000;1660;240
FALSCH;13.227884,52.585038;95;3920;cs_agg_11079_0_11077_9_11079_1_10705_29;-461331989#0_0;Berlin, Falkenplatz_Charger;150000;0;90
FALSCH;13.211948,52.606828;95;7011;cs_agg_11079_10_11077_0;223737429_0;Berlin, Alt-Heiligensee_Charger;150000;4211;30
FALSCH;13.379948,52.571899;95;2319;cs_agg_11082_16_10120_31_11085_0_12038_6;28819804_0;S Schönholz (Berlin)_Charger;150000;0;75
FALSCH;13.193939,52.535667;95;1873;cs_agg_11090_0_10036_0_12472_0;-450086133_0;Berlin, Galenstr._Charger;150000;0;90
FALSCH;13.390781,52.492457;95;17251;cs_agg_11475_0_11467_26_11475_1;52158843#1_0;U Mehringdamm (Berlin)_Charger;150000;13051;120
