statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;KOS-NETZ;Netzkosten;VBRST2;Strom-Jahresverbrauchsklassen Nicht-Haushalte;NHH-STR-IC;500 bis unter 2 000 MWh;0,0704;EUR/kWh;PRE061;Strompreise für Nicht-Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;ENR-VTB;Energie und Vertrieb;VBRST2;Strom-Jahresverbrauchsklassen Nicht-Haushalte;NHH-STR-IC;500 bis unter 2 000 MWh;0,1349;EUR/kWh;PRE061;Strompreise für Nicht-Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;KOS-NETZ;Netzkosten;VBRST2;Strom-Jahresverbrauchsklassen Nicht-Haushalte;NHH-STR-IG;150 000 MWh und mehr;0,0297;EUR/kWh;PRE061;Strompreise für Nicht-Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;KOS-NETZ;Netzkosten;VBRST2;Strom-Jahresverbrauchsklassen Nicht-Haushalte;NHH-STR-IE;20 000 bis unter 70 000 MWh;0,0204;EUR/kWh;PRE061;Strompreise für Nicht-Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;KOS-NETZ;Netzkosten;VBRST2;Strom-Jahresverbrauchsklassen Nicht-Haushalte;NHH-STR-IA;unter 20 MWh;0,0682;EUR/kWh;PRE061;Strompreise für Nicht-Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;ENR-VTB;Energie und Vertrieb;VBRST2;Strom-Jahresverbrauchsklassen Nicht-Haushalte;NHH-STR-IC;500 bis unter 2 000 MWh;0,1290;EUR/kWh;PRE061;Strompreise für Nicht-Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;STR-ABG-UML;Steuern, Abgaben und Umlagen;VBRST2;Strom-Jahresverbrauchsklassen Nicht-Haushalte;;Insgesamt;0,0876;EUR/kWh;PRE061;Strompreise für Nicht-Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;ENR-VTB;Energie und Vertrieb;VBRST2;Strom-Jahresverbrauchsklassen Nicht-Haushalte;NHH-STR-IG;150 000 MWh und mehr;0,0935;EUR/kWh;PRE061;Strompreise für Nicht-Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;ENR-VTB;Energie und Vertrieb;VBRST2;Strom-Jahresverbrauchsklassen Nicht-Haushalte;;Insgesamt;0,0542;EUR/kWh;PRE061;Strompreise für Nicht-Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;STR-ABG-UML;Steuern, Abgaben und Umlagen;VBRST2;Strom-Jahresverbrauchsklassen Nicht-Haushalte;;Insgesamt;0,1112;EUR/kWh;PRE061;Strompreise für Nicht-Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;STR-ABG-UML;Steuern, Abgaben und Umlagen;VBRST2;Strom-Jahresverbrauchsklassen Nicht-Haushalte;NHH-STR-IG;150 000 MWh und mehr;0,0639;EUR/kWh;PRE061;Strompreise für Nicht-Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;ENR-VTB;Energie und Vertrieb;VBRST2;Strom-Jahresverbrauchsklassen Nicht-Haushalte;NHH-STR-IF;70 000 bis unter 150 000 MWh;0,0312;EUR/kWh;PRE061;Strompreise für Nicht-Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;KOS-NETZ;Netzkosten;VBRST2;Strom-Jahresverbrauchsklassen Nicht-Haushalte;NHH-STR-IG;150 000 MWh und mehr;0,0180;EUR/kWh;PRE061;Strompreise für Nicht-Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;ENR-VTB;Energie und Vertrieb;VBRST2;Strom-Jahresverbrauchsklassen Nicht-Haushalte;NHH-STR-IA;unter 20 MWh;0,1871;EUR/kWh;PRE061;Strompreise für Nicht-Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;STR-ABG-UML;Steuern, Abgaben und Umlagen;VBRST2;Strom-Jahresverbrauchsklassen Nicht-Haushalte;NHH-STR-IC;500 bis unter 2 000 MWh;0,1315;EUR/kWh;PRE061;Strompreise für Nicht-Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;STR-ABG-UML;Steuern, Abgaben und Umlagen;VBRST2;Strom-Jahresverbrauchsklassen Nicht-Haushalte;NHH-STR-IF;70 000 bis unter 150 000 MWh;0,0671;EUR/kWh;PRE061;Strompreise für Nicht-Haushalte;e
61243;Durchschnittspreise für Strom und Gas;JAHR;Jahr;2025;DINSG;Deutschland insgesamt;DG;Deutschland;PREKO1;Preisbestandteile;ENR-VTB;Energie und Vertrieb;VBRST2;Strom-Jahresverbrauchsklassen Nicht-Haushalte;NHH-STR-IE;20 000 bis unter 70 000 MWh;0,0979;EUR/kWh;PRE061;Strompreise für Nicht-Haushalte;e
