TRIP_ID;ORIGINAL_TRIP_ID;START_STOP_ID;END_STOP_ID;depot;START_TIMESTAMP;END_TIMESTAMP
62;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;51720.0;55580.0
63;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;52320.0;56180.0
64;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;52920.0;56780.0
65;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;53520.0;57380.0
66;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;54120.0;57980.0
67;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;54720.0;58580.0
68;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;55320.0;59180.0
69;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;55920.0;59780.0
70;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;56520.0;60380.0
71;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;57120.0;60980.0
72;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;57720.0;61580.0
73;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;58320.0;62180.0
74;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;58920.0;62780.0
75;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;59520.0;63380.0
76;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;60120.0;63980.0
77;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;60720.0;64580.0
78;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;61320.0;65180.0
79;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;61920.0;65780.0
80;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;62520.0;66380.0
81;101_9633;agg_9633_0_9633_1;agg_9633_48_11946_43_11949_0_9646_0;Cicerostraße;63120.0;66980.0
