station_id,peak_power,raw_solar_data,scaled_solar_data
cs_agg_11800_0_11164_0_11804_22_11166_22,18,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.349595, 56.062073, 119.85113, 223.39285, 292.33017, 390.877, 351.60138, 443.90283, 742.0187, 687.7944, 549.0317, 201.09756, 20.164173, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 258.29271, 1009.117314, 2157.3203399999998, 4021.0713, 5261.9430600000005, 7035.786, 6328.82484, 7990.25094, 13356.336599999999, 12380.2992, 9882.5706, 3619.7560799999997, 362.95511400000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_11967_0_11967_1_11963_44_10695_33_10705_0_10705_1,18,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.096315, 48.421944, 97.58741, 199.77217, 326.23807, 350.1762, 475.7825, 483.7381, 759.8954, 711.42755, 615.2653, 342.92056, 18.451302, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 253.73367000000002, 871.594992, 1756.57338, 3595.8990599999997, 5872.28526, 6303.1716, 8564.085000000001, 8707.2858, 13678.1172, 12805.6959, 11074.7754, 6172.57008, 332.12343599999997, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_11968_0_9873_0,31,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.877309, 58.981853, 91.129036, 182.52505, 352.85825, 308.06137, 420.8397, 390.18588, 748.73676, 678.595, 566.7861, 211.6044, 30.271614, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 399.196579, 1828.437443, 2825.000116, 5658.27655, 10938.60575, 9549.90247, 13046.0307, 12095.762279999999, 23210.83956, 21036.445, 17570.3691, 6559.7364, 938.420034, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_12113_47_12561_34_12556_9,43,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.706301, 57.2823, 142.69992, 202.21057, 293.62152, 406.69965, 434.22717, 596.06415, 736.4412, 673.77094, 575.1976, 433.8288, 51.09632, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 546.370943, 2463.1389, 6136.09656, 8695.05451, 12625.725359999999, 17488.08495, 18671.76831, 25630.75845, 31666.9716, 28972.150419999998, 24733.496799999997, 18654.6384, 2197.14176, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_12472_23_9836_31_9897_34_11923_50_11973_33_12043_1_9852_20,18,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.7612095, 49.73909, 112.51861, 214.19582, 351.09006, 373.24283, 371.7259, 465.68948, 745.23334, 690.22687, 565.30176, 263.91632, 11.0503645, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 193.701771, 895.3036199999999, 2025.3349799999999, 3855.52476, 6319.62108, 6718.370940000001, 6691.0662, 8382.41064, 13414.20012, 12424.08366, 10175.43168, 4750.493759999999, 198.906561, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_12763_36_12771_0,50,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.016066, 58.147575, 141.66652, 207.39836, 238.50557, 428.96057, 470.9846, 568.5639, 729.0766, 679.7329, 534.81464, 404.14178, 19.8191, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 600.8033, 2907.3787500000003, 7083.325999999999, 10369.918, 11925.2785, 21448.0285, 23549.23, 28428.195, 36453.83, 33986.645, 26740.732000000004, 20207.089, 990.9549999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_12788_0_12763_0_12771_36,31,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.344982, 56.045044, 119.81446, 223.32745, 292.27872, 390.87784, 351.57498, 443.98135, 742.44037, 688.22864, 549.3994, 201.17259, 20.157759, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 444.694442, 1737.396364, 3714.24826, 6923.15095, 9060.64032, 12117.21304, 10898.82438, 13763.42185, 23015.65147, 21335.08784, 17031.381400000002, 6236.35029, 624.890529, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_9633_48_11946_43_11949_0_9646_0,12,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.734896, 49.339397, 113.015045, 228.6788, 351.1259, 362.70117, 469.0915, 553.74133, 739.9265, 682.4251, 545.6872, 341.38553, 123.19893, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 212.818752, 592.072764, 1356.18054, 2744.1456, 4213.5108, 4352.41404, 5629.098, 6644.89596, 8879.118, 8189.101200000001, 6548.2464, 4096.62636, 1478.38716, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_9777_31_9773_0,31,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.150047, 47.83936, 113.02787, 222.58133, 349.33228, 280.40424, 487.52872, 581.51074, 734.49615, 688.59985, 581.814, 308.38638, 78.651215, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 438.65145700000005, 1483.02016, 3503.86397, 6900.02123, 10829.30068, 8692.53144, 15113.39032, 18026.83294, 22769.38065, 21346.59535, 18036.234, 9559.97778, 2438.187665, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
cs_agg_9828_32_10099_29_10103_28_10109_0_10789_24_11082_0_10785_0_10691_0_11085_17_10094_0_10683_32_9836_0,81,"{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.356525, 56.796772, 119.8029, 223.41078, 292.35413, 391.06226, 351.63443, 444.1731, 741.70264, 687.26685, 548.629, 198.86311, 20.149717, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}","{'power': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1162.8785249999999, 4600.538532, 9704.034899999999, 18096.27318, 23680.68453, 31676.04306, 28482.38883, 35978.0211, 60077.91384, 55668.61485, 44438.949, 16107.91191, 1632.1270769999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
